id,Title,Content,Categories
319,10 yrs. Grade 5,"My eldest son was suicidal 3 years ago. The demands of school outstripped his ability to meet the expectations. He was in the mental health unit for 2 weeks. Upon returning to school, it was a long, hard battle with a school with zero knowledge of how to help. Ultimately, we had to pull him out to homeschool. He has been out of receiving proper education for 3 years. Our second son, currently 10, is the one from this questionnaire. I had to homeschool all 5 kids last year due to the inexperience of our school. We attend an INCREDIBLE school now, although, even now, two schools called Social Services on me. My 10-year-old has struggled all year with school refusal, and I have been searching where best to get him counselling. We are currently waiting yet another week to meet as a team to discuss medication for him (he has hit depression and withdrawal the past month.) There are NO accessible supports for him, and there is NO way he should have slid as far as he has. It is not due to the school at all; our missing piece is accessing counselling for him.",Elementary School
320,13 yrs. Grade 7,"The end of grade 6 was very challenging for my child. He was struggling with anxiety and refusing to attend school, and he missed close to 20 days of school in the last couple of months. As a concerned parent, I advocated for my son and took him to his paediatrician (who was not helpful). We did have a wonderful resource teacher that my son connected with and who provided resources and suggestions. In preparing for the change of schools for grade 7, I made an appointment to see the guidance counsellor with my son before school started to 1) ensure that his IEPs were transferred over to the new school (unfortunately they were lost); 2) introduce my child to the guidance counsellor; 3) familiarize my son with the school and his homeroom; and 4) make sure my child knew where he could go and talk to someone if he was struggling. Despite my continuous advocacy for my son, there was minimal support provided. I had to email each teacher individually to provide them with a synopsis of my child's struggle with anxiety, despite the guidance counsellor’s assuring me that she would make sure the teachers were aware. There were very few accommodations made for school time that my child missed as a result of anxiety and attending an anxiety group through the [redacted]. Compounding my child's anxiety were my own health struggles which required major surgery. This was a very stressful situation for my child, and even though I informed his teachers and guidance counsellor, there was no acknowledgment or assurance that they would check in on my child while I was ill. I guess my own experience with school refusal was and continues to be met with indifference from the school. Rather than supporting my child, they ignored him. As I've mentioned previously, because my child is not a shit disturber, but a very gentle and kind young man, the school has failed to assist him with his struggles so that he can be successful.",Elementary School
321,12 yrs. Grade 6,"Start in grade school. Teachers, you’re stuck in old ways of teaching and not listening to the child, and bullying from both teacher and kids, causing anxiety and stomach issues.",Elementary School
322,8 yrs. Grade 2,"My son is a very bright child. He reads above grade level; math skills are above grade level; he’s kind and willing to please. He was in grade 1 last year and began getting notes home about his behaviour. It didn’t sound like our son. We talked to him, and he told me he was being sent out of class almost daily for about a month. We set up a meeting with the teacher. She told us that she was sure he had ADHD and that some medication should help him. She told us we needed to be tougher on him and be disciplining him more at home. She said kids wouldn’t want to play with him and that he wouldn’t get invited to birthday parties if this didn’t change. She said that it was going to get worse, and by grade 2, he’d fall behind all other children. She began sending home notes daily that my son would read before we got them. These notes would start with either “he had a good day” or “he didn’t have a good day”, then go on to critique his behaviour. His anxiety got so bad he was chewing his shirt constantly and chewing the skin around his nails. He stopped wanting to go to school. This was all new behaviour we hadn’t seen, and it was worrisome. The guidance counsellor made us fill out the ADHD checklist, and we saw a private child psychologist. He was an angel. He read the comments, met our son, and deemed our son was not the issue, but it was the school. As a parent, I felt helpless until the point I decided to change schools. He is now finishing grade 2 with the highest marks in his class. Anxiety was gone after the first two weeks; he’s got tons of friends. At a parent-teacher meeting, his new teacher told us the old school sent his file over when he came. I didn’t know he had a “file” and would have liked to see it. Anyhow, she said she was surprised when she read it because none of what they said was true, and she said that our son has no issues. Our family and he went through hell last year because this teacher couldn’t recognize that he was just an energetic little boy. Changing to schools with teachers who focus on positive reinforcement and positive mental health environments changed our world. Thank you.",Elementary School
323,8 yrs. Grade 2,"Please feel free to use any of my longer-form answers, in full or in part, if it helps to illuminate points you want to address. I firmly believe we can't really deal with this sufficiently if we don't take into account all the social factors surrounding the issue (parents in precarious work/gig economy, lack of social supports at school, curriculum still stuck in an outmoded and outdated approach to learning).",Elementary School
324,9 yrs. Grade 4,"My 9-year-old son has always had a lot of anxiety around school, but this year we have experienced flat-out school refusal where I’ve had to miss work. It’s affecting our income. Now that he’s a “big kid”, I can’t simply make him go or carry him to the car like I used to (while dying inside). I’ve had to look deeper at why this is happening, and what I see is sensory overload, fatigue, and low self-confidence. He is simply shutting down, and I’m not sure why. We need professional help. While he is very bright and a ""pleasure to have in class"", his output this year is almost zero. After having met with his teacher and school counsellors, they recommended having him assessed so that a formal IEP can be put in place to address his specific needs. Problem is: the wait time for this to happen through the school is approximately 3 years (!!!!!), and if we do it privately, it costs between $2,400-4,000. We will somehow have to find a way to raise the funds, but in the meantime, we don’t know how to positively support him, and he’s getting further and further behind. It feels like we’re drowning. The one amazing thing is his teacher who sees that he’s a great, smart kid and has offered several accommodations without having an IEP (like having a soft morning start as a library helper, temporarily eliminating homework, allowing him to use a keyboard instead of writing by hand, taking breaks to walk the school when needed - she’s amazing!!) BUT despite all this, he continues to refuse, saying he just “hates it there, hates the people, hates the teachers, hates the principal, hates math” and anything else he can think of. Truth is, there are lots of people there he likes, and they like him. We are struggling.",Elementary School
325,9 yrs. Grade 4,"Things were fine with my son until this year, grade 4. I was warned about his teacher, that she favours girls and is hard on boys. My son thinks differently from other children; he is very well-read and is a sponge of information. Within the first few weeks of school, I was getting phone calls and emails about his interjections and questions, which the teacher didn't approve of. We talked about it at home and that was when the school refusal started. The principal, who is new, also began to micro-manage the school and changed a lot of the structures and rules that my son was accustomed to. For example, this year, I was not allowed to walk him to his classroom, as the principal felt the children should get used to the separation from parents at the door. I understand they can't have many parents in the halls each morning, but once it surfaced that my son was having trouble getting to school, I wished there had been more understanding. Things in December were the worst, with meetings at the school and a lot of tears and anger in trying to get to school. Things are still not great, but we are getting help from a lot of outside people, and I have written off the school for assistance. They have just left us alone - to arrive late; this, I guess, is their way of supporting us. We are counting down the days until the end of grade 4 and are considering changing schools next year.",Elementary School
326,13 yrs. Grade 7,"My son would have anxiety attacks starting in grade 3 and self-harmed in these moments at school. He would be sent to the office to sit in a noisy office till the end of school. He would come home red-faced and refused to talk about it. He would make himself sick and beg me to be homeschooled. His teachers only poked the bear when he was stressed out. Only in grade 6 did we finally switch schools, and this new one got all the tests and help in less than a year. With the new school, we had rides to appointments and help from social workers and counsellors, and my son was diagnosed with Major Depressive Disorder. He was put on meds and is a totally different boy a year later. I cry thinking of how blessed we are to have a school ([redacted]) care for my son like family. He has his bad days, but so do we, and these surveys are proof that we are in the right school at last.",Elementary School
327,8 yrs. Grade 2,"My son has a diagnosis from a psychologist/paediatrician. He has been suspended from his school [redacted] times. He is only in grade 2. He also does not even do full days at school, because he does not have supports in place, even with documentation saying he needs the supervision. I have had phone calls multiple times saying they have lost him in the school and they cannot find him. The police have been called. I’m not sure what else to do to help my son. I am a single mother of three and have to pay for his education out of my pocket because there are no expectations for him at school. They don’t force him to do work, because they can’t, because the teacher has three of her kids in the classroom that she needs to teach, so she cannot be helping him one-to-one as he needs. Fetal Alcohol Syndrome needs to be talked about more, so that the teachers and principals are aware of how it affects children in their day-to-day life. Just because his disability is not visible, he does not get the same support as other kids with disabilities. It is brain damage.",Elementary School
328,10 yrs. Grade 5,"Our daughter is very scared of thunderstorms and high winds, and if she thinks there is such weather coming, she says that she will not be going to school. We will do whatever we can to support her, but the fear is real and can incapacitate her. The school has been extremely supportive, and will offer whatever help they can, but really all she wants is mum or dad.",Elementary School
329,7 yrs. Grade 2,"My son has hated school since kindergarten (he's in grade 2 now) and it breaks my heart. I've put him onto the bus crying more times than I can count, then I try to go to work and be productive. Would I continue at a job that I hated? No, but I expect my child to do that. It's so hard. This year, he finally has a teacher who ""gets"" him, and I'm terrified to lose her next year. It creates so much anxiety in our house. We are seeing a child psychologist this month and hopefully getting an assessment done. Another part of the problem is that, without a diagnosis, there is very little help for him. We got him a mental health worker before Christmas who has barely seen him and doesn't seem to be helping at all.",Elementary School
330,7 yrs. Grade 2,"I would love to tell my whole story, but I feel it’s too long and honestly still so emotional of an experience to retell in full. I will share that I followed my gut and was right that my son had learning disabilities and wasn’t just misbehaved. I will say that being told your child will “get over it” or just needs to settle in, when you knew the problem was bigger, was exhausting. Lastly, I will share that, when a child doesn’t want to go to the park, you might think “oh why?” and ask questions. Did something happen at the park? When a child refuses to see the dentist, you assume they are afraid and offer comfort, accommodations, and a reward system (sticker or toy). So why, when a child fears and refuses school, does the school so quickly blame the student and his or her home? Parents are literally leaving their children in the hands of schools during those hours and are typically not welcome in the process of their daily socialization and education in school.",Elementary School
331,"12 yrs, Grade 6","We’ve dealt with school refusal for 6 years, all of my son’s primary schooling. It wasn’t until last year, when he ended up dropping out of grade 5, that I understood school refusal to be a thing. That we weren’t alone. That he wasn’t the only kid unable to attend school at times. School refusal would present itself as severe meltdowns that have even led to very scary panic attacks. My son suffers from anxiety (that most teachers can’t see and therefore refuse to accept as truth), but otherwise does very well in school and has many friends. I’ve asked him multiple times if perhaps we should homeschool but he LIKES school, and so we continued. It’s been a huge challenge in grades 5 and 6, and now he’s unofficially labelled as “chooses not to attend”, and some of his teachers have been impossible when it comes to help. I feel very strongly that our school cares little about the actual education of the child and more about the falling-into-line piece. We have high hopes for the high school he’s chosen for next year.",Elementary School
332,7 yrs. Grade 2,"My son has had issues all his life. In preschool, red flags were noticed and professional services were obtained. During his time at school, he was told he’s being a baby, he’s a ""drama kid"", to get over it, has a victim complex- by the principal of his school- and was being yelled at by the vice principal, when it clearly stated in his psych evaluation that he’s sensitive to tone of voice and body language.",Elementary School
333,13 yrs. Grade 7,"My daughter was diagnosed with autism, ADHD, and anxiety at age 7. Despite years of trying, my (very high-functioning) daughter received her first IEP at the age of 11. (She is currently 13.) It was too little too late. At this point, she had endured years of bullying and numerous outbursts from teachers (in frustration to her panic attacks and crying), so did not feel safe in class. Between [redacted] and [redacted], my daughter missed over 180 days of school. We moved her to a new school in November 2018 where she got a fantastic plan, which was followed until December 2018, when teachers/admin decided it wasn't necessary because she was doing so well (too well!). In January 2019, she missed 15 days of school. The plan is finally being followed regularly, but only after a big fight with the principal. Since [redacted], she has not missed a day of school! In March 2019, she received her first report card in 5 terms. [redacted] average (she has no academic accommodations)! Here's hoping that continues!",Elementary School
334,14 yrs. Grade 8,"“You can do better than this” was the common message given to our child. Because we are a high-functioning , educated, middle-class family, our child was always overlooked and under-supported. We did the right things as parents in our home to accommodate his needs but the school didn’t attempt to accommodate. Every intervention to support him was a punishment. “Go to the library to finish your work quietly....go sit in the hall because you’re being too disruptive....your child doesn’t know how to control himself in class....your child would have much better grades if only he applied himself”....IF ONLY.... If only the school would listen and not judge us because we were a “good family with a bad kid”. If only the teachers would make time to communicate with us about the struggles they saw. If only the education system had more services so we didn’t have to wait three entire years for a psychoeducational assessment and an appointment with the school counsellors. If only the school counsellors saw that his need was just as great as the underprivileged kids’ needs. If only being sent to the school counsellor wasn’t a punishment for poor behaviour. If only the city we lived in had more resources. If only people would listen and not judge. If only we didn’t silence our frustrations because we were afraid to “rock the boat” with the school and its staff. We are grateful for the “if onlys” because they have brought us to a new city, a new school, and a new start. We have access to more support, better service with the educational system, and a greater strength to advocate. But all of those “if onlys” came with a cost. A memory of negative experience in school that to this day haunts our son. If only we could erase those memories.",Elementary School
335,11 yrs. Grade 5,"My son's class of 25 is currently in a music/food prep kitchen, which was quickly converted due to massive school population growth. The room is crowded, and the acoustics make the room so loud, even noise-cancelling headphones don't help him. They didn't have coat hooks and needed to use bins on the floor until January. How can we expect students to feel valued and safe at school when they're crammed into makeshift rooms? Funding needs to be increased so school overcrowding doesn't get worse.",Elementary School
336,13 yrs. Grade 8,"My son had a psychotic episode two weeks before his 12th birthday. It’s been almost two years, and his mental health recovery has been slow. The first day of grade 7, he curled up in a ball on the floor outside the office, with his hood pulled over his head. People and other kids were staring at him. An Educational Assistant (EA) came over and demanded he remove his hood because it violates school policy. I informed her he was unwell and not coping. Removing the hood would cause further stress. She looked at me and said, “Oh. This is that boy we got an email about.” Two more EAs came over to stare. No one offered him comfort or tried to help him. I had to take him home that day, and even though his teacher in his specialized classroom, when he’s there, is great, the damage was done. My son has been in psych, and a day program, and a hospital stay. He’s been to school maybe 20 days in two years. There’s not much support in our school system. When he’s struggling, he just stays home; otherwise, the school just calls me to get him. There are no resources for him.",Elementary School
337,8 yrs. Grade 3,"While sitting in the principal’s office (school and family relationship has been difficult because school has tried to impose their point of view), the psychologist says, “It takes a village to raise a child,” to which I responded, “You’re NOT part of my village.” Schools need to learn to respect parents’ point of view and to work together, rather than playing the “know-it-all” or the “expert” card! My child is not the only one who does not trust school; I as a parent DO NOT trust schools!",Elementary School
338,11 yrs. Grade 5,"My daughter initially complained of headaches before school - we saw a paediatrician, had her vision and hearing checked. No one indicated anxiety was a possible cause, and it was only a random internet search that tuned me in to the topic of school refusal. That allowed me to speak more openly with our daughter regarding her feelings about school. I had to - and was thankfully able to - change my work schedule to walk my child to class right at starting bell, as the pre-school chaos was very overwhelming for her. Having to attend while so anxious and emotional led to feelings of hopelessness that she would not be able to “make it through the day”.  he ultimately had treatment for depression (including suicidal ideation). A private psychologist provided wonderful support. Our daughter recently told me that this year at school is “like ombre hair- it was really dark but now it’s getting lighter.”",Elementary School
339,12 yrs. Grade 7,"My daughter’s school refusal and anxiety were definitely linked to her diagnosis of ASD1. We were not able to get that until she was 11, and only via private practice. It led to high anxiety and depression. Even though she wanted to go to school, starting in kindergarten, she experienced difficulty getting there. She experienced social exclusion from preschool onward. She experienced bullying/relational aggression from preschool onward. She had to change schools once, and after that, because her second school told me she didn’t qualify for assistance for her ADHD diagnosis (blatant lie), I chose to change again and send her to a very expensive dedicated-to-learning-disabilities private school. I receive no transfer of funds from her school division or government assistance to achieve that. The private school had strengths but weaknesses as well. No schools, public or otherwise, had any understanding of how to engage with a student (or parent of one) with depression and anxiety. At her private school, in fact, I was told that if her absences (due to depression) continued, they would have to “shut that down” (meaning: expel her from the school). When my daughter skilfully self-regulated, she was told to “stop the drama” (for removing herself to calm down). When she tried to speak to a friend for consolation immediately after being bullied by a girl who was already known by the school to be actively bullying her, she was told to “stop gossiping” This lack of skill in both recognizing and handling nuanced behaviour is extremely problematic. Only one teacher in all the schools she was in recognized the relational aggression that occurred. All of the others engaged in blaming and dealing with the circumstances in a highly unskilled manner. We don’t need awareness. We need acceptance that these circumstances are REAL. Acceptance will lead to real solutions. Awareness is just lip service.",Elementary School
340,8 yrs. Grade 3,"Our son had to literally be ""peeled"" off me every morning and practically dragged into the school kicking and screaming. It was awful for both my son and me. The three teachers who had to drag him in every morning would kind of chuckle as if it was funny. It became a routine...""Oh, here comes [redacted]""...ready, set, grab, and peel. We talked to his teacher, the school counsellor, and his family doctor, and they all acted as if it was ""normal"" and said that he'd simply grow out of it. It was far from normal. They also didn't see the hour it took nearly every morning just to convince him to leave the house. Mornings were terrible from kindergarten through to a few months into grade 2. Luckily, in grade 2, we signed him up to be a ""greeter"", which allowed him to develop leadership, a sense of responsibility related to the school. It also was an opportunity to meet/see other children in an unthreatening way.",Elementary School
341,14 yrs. Grade 8,"Teachers are trying to teach at all levels, and they are overwhelmed. Less mature students are being moved along in the education system and are in grades that aren’t academically fitting for them. They are creating chaos and upset in a setting that is above their social and academic level. I believe if children aren’t academically ready for a certain grade, they need to be held back, as it’s now creating stress on them and on those that are academically ready for these classes.",Elementary School
342,13 yrs. Grade 8,"We submitted our human rights complaint at the end of grade 5, after 3 months of school refusal that was met with shock from school and division admin because they didn't understand why she didn't want to be at school. We had over [redacted] of emails (and that doesn't include phone calls and meetings) from issues going back to grade 1, detailing incidents and asking for planning. If they'd put in even a minimal plan for her, then we wouldn't be here. The division even sent a social worker to our house, who spent 3 hours trying to determine what other things she was avoiding because she was too afraid. They did not believe it was only school. In the end, the social worker was finally convinced that the only place my daughter was truly afraid to go was school. Not that it helped much. Things are getting better. Her new school had a phenomenal counsellor who basically held everything together for the second half of last year. The day before school finished, we found out she'd been transferred. Hopefully, at least the plan will continue to be followed.",Elementary School
343,13 yrs. Grade 8,"When my son was in kindergarten, he would cry all the way to school, saying he didn't want to go. He would say that I was the worst mom ever and that I was mean for making him go. I could handle this, even though it was heartbreaking, as most days, he would get to school, wash his face (we kept a facecloth in the backseat so he could wipe off the tear stains), and would go in. One day, after several months of this, we had a rough day getting out the door. He wanted to stay home, told me he had a stomachache - and I knew he didn't - so I picked him up and locked him in the backseat and drove him to school. That day he told me ""I want myself to die""....I knew this was more than just not wanting to go to school. We visited our first psychologist a few weeks later. Some weeks and months were better; some years were better, when he had a teacher that understood him and worked hard to make him feel included. Other years were hard. This year was grade 7.... it was not easy.... so many different teachers, no important and meaningful connections. He went from a school where he made some of the teams he tried out for, but at the new school didn't make one team, didn't have great relationships with his teachers, and struggled a lot. Missed on average one day a week, sometimes more.",Elementary School
344,13 yrs. Grade 8,"There is no one face of anxiety or depression. Compassion and understanding are the key. What if this were your child? Show love and compassion to not just the child but also his/her parent(s). They’re doing their best. It needs to be a collaborative approach built on trust and understanding, to make school a safe and welcoming environment for our most stressed students.",Elementary School
345,8 yrs. Grade 3,"My son has suffered from anxiety toward school since he entered grade 1. In kindergarten, he loved school and was even subtracting numbers and adding numbers from the dice correctly. Soon after entering grade 1, he started to dislike school and say it was hard. His teacher would email daily telling me he was not paying attention or was disrupting the class. I had him privately assessed again and found out he had a learning disability in reading and writing, but also a full-scale IQ of 122. A very difficult and challenging diagnosis. When I addressed the school with the new psych report, I was told they would make accommodations on his IEP. Unfortunately, nothing was done, despite several meetings with the school. Each morning was a fight to go to school, until it got to the point where he told me he just wanted to die. He was sick each morning, would throw up. Of course, I couldn’t send him to school if he was vomiting. By mid-morning he was as good as new. He’d tell me how hard school was, how no one helped him, and how he was sent to the time-out room if he didn’t do his work. By grade 2, the anxiety toward school progressed into dissociative behaviours, and he was admitted to the hospital. At this point, I was now on leave from my teaching job. After his admission, we tried to go to school, but I got calls daily to pick him up. I finally said enough. I pulled him from school. He’s had a tutor who has brought his reading up to grade level, an excellent team of psychologists, and will be starting in a school for students who have complex needs and trauma backgrounds this week. And I finally get to go back to work and teach as well.",Elementary School
346,13 yrs. Grade 8,"Our son became ill in the early spring of grade 6. He missed 3 weeks of school when we tried to send him back even though he wasn’t completely healthy. We kept getting phone calls to come and pick him up. We decided to just keep him home until the doctors could diagnose his illness. There was little communication from the school, no work sent home for us to complete with him, and no outreach from his class. He felt like no one at the school cared about him. After physical diagnosis and treatment during the summer, he began grade 7, but by Thanksgiving, we couldn’t get him to school at all. Despite the challenges from the year before, the teacher had placed him in a class separated from his two best friends. He complained that his brain didn’t work right and that he couldn’t remember anything. Math was a huge source of anxiety, which we attributed to missing 3 months of the previous year. We sought help from the youth counsellor and social worker, a child psychiatrist, a child psychologist, and several specialists. He was diagnosed with unexplained chronic pain, severe depression, and anxiety. Other than offering a modified day, the school offered no support. On the days I could get him to school, my son reported sitting at his desk, with no one talking to him, and trying to catch up on work he missed. The school refused to put an IEP in place. My son felt stupid and inadequate. I took a leave of absence from work to try to help him, to no avail. He has missed 13 months of school now, and we don’t know where to turn.",Elementary School
347,10 yrs. Grade 5,"Every day, you dread the sound of the phone ringing. It’s 9:30 and you just know it’s the school. The principal may ask if he can come home, or he’s going to be on the line saying he doesn’t feel well. When you refuse his leaving, you must deal with the anger he has, because he just slammed the phone down. And you know he’s not going to participate until he calms down. Even then he feels like no one cares about him. It tears you apart knowing your child feels so helpless, but you don’t know what else to do, as he can’t come home every day. He’s almost failing as it is. There’s no extra support, as your child isn’t deemed needy enough. There are no academic assessments because the district has a two-year waiting list and one psychologist to do them all. And you have no idea what else you can do to help your child feel worthy, intelligent, and strong. Hearing your child say it would be better if he wasn’t born because he causes so much trouble breaks your heart into pieces.",Elementary School
348,8 yrs. Grade 3,"Last year, my son would constantly complain that he was too sick to go to school. His stomach would hurt, and we would always agonize about whether to send him to school or not. If we kept him home, he always felt better. We suspected that he had dyslexia, but the school completely ignored our concerns. They blamed us as parents and told us he had a behaviour problem. We finally paid to have a psychoeducational assessment. He was diagnosed with dyslexia, dysgraphia, and school-related anxiety. As a parent, I felt guilty for sending him to school, where he was constantly set up to fail, where every day teachers ignored his needs. I realized at that point that school was not a safe place for him. It was a place where he experienced failure every single day. He did not have a behavioural issue before we took him to school; it developed because of being at school. We fought hard with the school and the district to get him the accommodations he needed and invested heavily in private tutoring (since NO instructional supports were provided through the school). With all our efforts, the anxiety has all but disappeared and he does not have a behavioural issue.",Elementary School
349,9 yrs. Grade 4,"My daughter has been feeling anxious about going to school. She feels she does not fit in, that no one likes her, and she just wants to stay home. The teachers have been great, but I worry about the time it is taking them to cater to her when they have 30 other children that need to learn.",Elementary School
350,10 yrs. Grade 5,"A seven-year-old with severe ADHD fitting the classic explosive child behaviours with some defiance and work refusal witnesses his closest relative, his grandmother, die while being resuscitated; mother works in the school. He is returned to school after one week of grieving, to ""keep a normal routine"", as kids just bounce back through these things. The first day of mother's return to work, he witnesses an outpouring of sympathy towards mom. None for him. The lockdown drill happens. How would you support him?",Elementary School
351,11 yrs. Grade 6,My son has struggled since junior kindergarten. He has slipped through and is not getting a proper education. He has been suspended 4 times this year. He just wants to be in school and learn. They are not following the Individualized Education Plan and safety plan and he suffers. I feel bullied and intimidated by the school system.,Elementary School
352,11 yrs. Grade 6,"My daughter took a mental health day from school and missed some important information for a test a few days later, so she had extra work to catch up on which only added to her anxiety.",Elementary School
353,13 yrs. Grade 8,"We have two children with anxiety and school refusal. We have gone from a family who had it all together to barely being able to keep our heads above water. We have lost friends, money, and opportunities. We have not been able to support our parents as they age. Almost every day is a struggle to stay positive.",Elementary School
